V,E,SLVO,Smallest Original,Uniform Random
1000,2000,184,208,1206
2000,2000,228,290,4061
3000,2000,281,403,8877
4000,2000,318,464,15470
5000,2000,371,537,24200
6000,2000,425,619,34294
7000,2000,464,691,46315
8000,2000,511,758,60588
9000,2000,557,842,77176
10000,2000,639,950,96286

2000,1000,159,223,4079
2000,2000,230,288,4039
2000,3000,299,349,4256
2000,4000,361,421,4188
2000,5000,561,506,4234
2000,6000,485,555,4529
2000,7000,566,634,4429
2000,8000,593,778,4810
2000,9000,665,759,4691
2000,10000,737,843,4681
